accuracy,split_method,layer,seed
1.0,spatial,layer4,15
1.0,spatial,layer5,15
1.0,spatial,layer1,16
0.9936383259396544,spatial,layer2,16
0.9929142900289868,spatial,layer3,16
0.9999823363165332,spatial,layer4,16
0.997940036423286,spatial,layer5,16
1.0,spatial,layer1,17
0.9832085747481818,spatial,layer2,17
0.988433432373596,spatial,layer3,17
0.9998645744398974,spatial,layer4,17
0.9994835895792878,spatial,layer5,17
1.0,spatial,layer1,18
0.9841436148850072,spatial,layer2,18
0.9963974696082796,spatial,layer3,18
0.9888479995289544,spatial,layer4,18
0.9928667685498987,spatial,layer5,18
1.0,spatial,layer1,19
0.9929056269937896,spatial,layer2,19
0.9977020634055728,spatial,layer3,19
0.9979156394153916,spatial,layer4,19
1.0,spatial,layer5,19
1.0,spatial,layer1,20
0.9904288575308712,spatial,layer2,20
0.9952165050111,spatial,layer3,20
0.9999646715930168,spatial,layer4,20
0.9984167134654744,spatial,layer5,20
0.9999886072344062,spatial,layer1,21
0.9890703225112786,spatial,layer2,21
0.9992837592588828,spatial,layer3,21
0.9995701769419852,spatial,layer4,21
0.9996651854416102,spatial,layer5,21
1.0,spatial,layer1,22
0.9244650950794032,spatial,layer2,22
0.9861185512664064,spatial,layer3,22
0.9994465379180404,spatial,layer4,22
1.0,spatial,layer5,22
0.9999886072344062,spatial,layer1,23
0.9894290028974486,spatial,layer2,23
0.9968067317388012,spatial,layer3,23
1.0,spatial,layer4,23
0.9998694813301554,spatial,layer5,23
0.9999658197561808,spatial,layer1,24
0.9936574125302052,spatial,layer2,24
0.9941890409884172,spatial,layer3,24
1.0,spatial,layer4,24
0.9994211780728632,spatial,layer5,24
1.0,spatial,layer1,25
0.9915279530997968,spatial,layer2,25
0.9973780394047094,spatial,layer3,25
1.0,spatial,layer4,25
0.9994268365349146,spatial,layer5,25
1.0,spatial,layer1,26
0.994447370592354,spatial,layer2,26
0.9974078711551346,spatial,layer3,26
0.9998763505755588,spatial,layer4,26
0.9997730045682832,spatial,layer5,26
0.9999430361720308,spatial,layer1,27
0.9944053908120593,spatial,layer2,27
0.9916139797086952,spatial,layer3,27
0.9999293431860334,spatial,layer4,27
1.0,spatial,layer5,27
1.0,spatial,layer1,28
0.9887230067989072,spatial,layer2,28
0.9903733507018588,spatial,layer3,28
1.0,spatial,layer4,28
0.9981046090773832,spatial,layer5,28
1.0,spatial,layer1,29
0.991318071966094,spatial,layer2,29
0.9957366506961036,spatial,layer3,29
1.0,spatial,layer4,29
1.0,spatial,layer5,29
0.9999544289376244,spatial,layer1,30
0.9850595038410672,spatial,layer2,30
0.9962653027177266,spatial,layer3,30
1.0,spatial,layer4,30
0.9999319031416728,spatial,layer5,30
1.0,spatial,layer1,31
0.98911994527282,spatial,layer2,31
0.99046713706411,spatial,layer3,31
0.9999175670503724,spatial,layer4,31
0.9999035269415202,spatial,layer5,31
1.0,spatial,layer1,32
0.9934017344582988,spatial,layer2,32
0.9974974160272378,spatial,layer3,32
0.9999764477286778,spatial,layer4,32
0.997554145477504,spatial,layer5,32
0.9999886065853936,spatial,layer1,33
0.994741228326229,spatial,layer2,33
0.9987593593604422,spatial,layer3,33
1.0,spatial,layer4,33
0.9980648839107304,spatial,layer5,33
1.0,spatial,layer1,34
0.9851281537730748,spatial,layer2,34
0.9929313632287292,spatial,layer3,34
1.0,spatial,layer4,34
0.9999148791283624,spatial,layer5,34
1.0,spatial,layer1,35
0.9929819282083796,spatial,layer2,35
0.9925092833842308,spatial,layer3,35
0.9998704640678028,spatial,layer4,35
0.9996311428895698,spatial,layer5,35
1.0,spatial,layer1,36
0.9677296073712736,spatial,layer2,36
0.997318356637164,spatial,layer3,36
0.998887187941592,spatial,layer4,36
0.9952161244122004,spatial,layer5,36
1.0,spatial,layer1,37
0.9915126947356022,spatial,layer2,37
0.99458130189666,spatial,layer3,37
1.0,spatial,layer4,37
1.0,spatial,layer5,37
0.9999772144688124,spatial,layer1,38
0.9921080026483996,spatial,layer2,38
0.9927309803333432,spatial,layer3,38
1.0,spatial,layer4,38
0.9996595068524248,spatial,layer5,38
1.0,spatial,layer1,39
0.9910700000291566,spatial,layer2,39
0.99787258401464,spatial,layer3,39
1.0,spatial,layer4,39
0.9992793025466816,spatial,layer5,39
1.0,spatial,layer1,40
0.9964814254693132,spatial,layer2,40
0.9923302011831177,spatial,layer3,40
1.0,spatial,layer4,40
0.9959311809543284,spatial,layer5,40
1.0,spatial,layer1,41
0.997450759660591,spatial,layer2,41
0.9960436124937811,spatial,layer3,41
0.9999882238643388,spatial,layer4,41
0.9999035295177936,spatial,layer5,41
1.0,spatial,layer1,42
0.9945312994962572,spatial,layer2,42
0.993003834628448,spatial,layer3,42
1.0,spatial,layer4,42
0.9996197934400184,spatial,layer5,42
0.9999202460977556,spatial,layer1,43
0.9024830966825046,spatial,layer2,43
0.9965722480660092,spatial,layer3,43
1.0,spatial,layer4,43
0.9958971430717832,spatial,layer5,43
1.0,spatial,layer1,44
0.994641989793744,spatial,layer2,44
0.9945471623132224,spatial,layer3,44
0.999994112105511,spatial,layer4,44
0.9960276425805958,spatial,layer5,44
1.0,spatial,layer1,45
0.9910509317161074,spatial,layer2,45
0.9840080543472308,spatial,layer3,45
1.0,spatial,layer4,45
0.9969639565499544,spatial,layer5,45
1.0,spatial,layer1,46
0.9959700646651016,spatial,layer2,46
0.9955746208830674,spatial,layer3,46
1.0,spatial,layer4,46
1.0,spatial,layer5,46
0.9999886065853936,spatial,layer1,47
0.9929551977627568,spatial,layer2,47
0.9955618509723052,spatial,layer3,47
0.999899905793688,spatial,layer4,47
0.9980365127021074,spatial,layer5,47
1.0,spatial,layer1,48
0.9919935199513727,spatial,layer2,48
0.9976849995665356,spatial,layer3,48
0.9995525085782948,spatial,layer4,48
0.9975825194234174,spatial,layer5,48
1.0,spatial,layer1,49
0.9912493690948686,spatial,layer2,49
0.9923344657569472,spatial,layer3,49
1.0,spatial,layer4,49
0.9996027691046734,spatial,layer5,49
1.0,spatial,layer1,50
0.9962791552037968,spatial,layer2,50
0.994308412248988,spatial,layer3,50
1.0,spatial,layer4,50
0.9972250009743948,spatial,layer5,50
1.0,spatial,layer1,51
0.9875514686071588,spatial,layer2,51
0.9930208893794216,spatial,layer3,51
1.0,spatial,layer4,51
0.9994552264215184,spatial,layer5,51
1.0,spatial,layer1,52
0.9927186406518428,spatial,layer2,52
0.997096635695564,spatial,layer3,52
0.9998940147790504,spatial,layer4,52
0.9988707262272304,spatial,layer5,52
1.0,spatial,layer1,53
0.9935085853153448,spatial,layer2,53
0.9132531663613224,spatial,layer3,53
1.0,spatial,layer4,53
1.0,spatial,layer5,53
1.0,spatial,layer1,54
0.9958517447121956,spatial,layer2,54
0.9933108238720774,spatial,layer3,54
0.9995642958078192,spatial,layer4,54
0.9998127287688336,spatial,layer5,54
1.0,spatial,layer1,55
0.9960425567318432,spatial,layer2,55
0.9965125631173286,spatial,layer3,55
0.9999411193216948,spatial,layer4,55
0.9935080143817746,spatial,layer5,55
1.0,spatial,layer1,56
0.9938596637172138,spatial,layer2,56
0.9966191510168032,spatial,layer3,56
1.0,spatial,layer4,56
0.9997673322587634,spatial,layer5,56
1.0,spatial,layer1,57
0.9929857763142496,spatial,layer2,57
0.990398940416852,spatial,layer3,57
1.0,spatial,layer4,57
0.9987458858245376,spatial,layer5,57
1.0,spatial,layer1,58
0.996073102077994,spatial,layer2,58
0.9939886856298636,spatial,layer3,58
1.0,spatial,layer4,58
1.0,spatial,layer5,58
1.0,spatial,layer1,59
0.9716720226008836,spatial,layer2,59
0.9958730857048308,spatial,layer3,59
0.9995407307092178,spatial,layer4,59
0.9992566107323296,spatial,layer5,59
1.0,spatial,layer1,60
0.9978934175207582,spatial,layer2,60
0.9987977260748874,spatial,layer3,60
1.0,spatial,layer4,60
0.9990579839329626,spatial,layer5,60
1.0,spatial,layer1,61
0.9946152897135324,spatial,layer2,61
0.9938565163764144,spatial,layer3,61
1.0,spatial,layer4,61
0.9977527735650076,spatial,layer5,61
1.0,spatial,layer1,62
0.9862538646612086,spatial,layer2,62
0.9962865927789648,spatial,layer3,62
0.9999646726330664,spatial,layer4,62
0.9986607594783192,spatial,layer5,62
1.0,spatial,layer1,63
0.9947145172503892,spatial,layer2,63
0.996866441407015,spatial,layer3,63
1.0,spatial,layer4,63
0.9980932589837634,spatial,layer5,63
1.0,spatial,layer1,64
0.9935085615036195,spatial,layer2,64
0.9923472770183986,spatial,layer3,64
1.0,spatial,layer4,64
0.998087584903056,spatial,layer5,64
1.0,spatial,layer1,65
0.9927720378995166,spatial,layer2,65
0.9931871623184574,spatial,layer3,65
1.0,spatial,layer4,65
0.9999943252752242,spatial,layer5,65
1.0,spatial,layer1,66
0.9943367013394804,spatial,layer2,66
0.9977319005179556,spatial,layer3,66
1.0,spatial,layer4,66
0.9980932628481732,spatial,layer5,66
1.0,spatial,layer1,67
0.9928903651342958,spatial,layer2,67
0.9929952980285766,spatial,layer3,67
1.0,spatial,layer4,67
0.998053537359486,spatial,layer5,67
1.0,spatial,layer1,68
0.9943061852664596,spatial,layer2,68
0.9958261696672256,spatial,layer3,68
0.9999057936881772,spatial,layer4,68
1.0,spatial,layer5,68
1.0,spatial,layer1,69
0.9909440593047169,spatial,layer2,69
0.9971606031215592,spatial,layer3,69
1.0,spatial,layer4,69
0.99810461036552,spatial,layer5,69
1.0,spatial,layer1,70
0.9913562143448724,spatial,layer2,70
0.995796331191633,spatial,layer3,70
